Time resolution is 1 ps
t=485000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=8 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=1 dram_rdy=0 dram_busy=1
t=495000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=1 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=8 l2.mem_r=0 l2.mem_rdy=1 | dram_req_r=0 dram_req_w=1 dram_rdy=1 dram_busy=0
t=505000 core1.state=5 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=1 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=1
t=515000 core1.state=7 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=1 snoop_pend=1 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=1
t=525000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=1
t=535000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=1 | dram_req_r=0 dram_req_w=0 dram_rdy=1 dram_busy=0
t=545000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=555000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=565000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=575000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=585000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=595000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=605000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=615000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=625000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=635000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=645000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=655000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=665000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=675000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=685000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=695000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=705000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=715000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=725000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=735000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=745000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=755000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=765000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=775000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=785000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=795000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=805000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=815000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=825000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=835000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=845000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=855000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=865000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=875000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=885000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=895000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=905000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=915000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=925000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=935000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=945000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=955000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=965000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=975000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=985000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=995000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=1005000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=1015000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=1025000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=1035000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=1045000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=1055000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
